Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
9 3 -6.788096 0.0 -35.8778 7.40344 -19.8146 336.34 -2722.76 334.973 -2719.28 0.0 334.973 -2719.28 -4.82537 -35.8778 -2425.0103 2.14681 2.14681
9 4 -6.7080884 0.0 -35.2981 7.34903 -19.6979 336.34 -2722.76 335.066 -2718.98 0.0 335.066 -2718.98 -4.93649 -35.2981 -2424.1487 1.92057 1.92057
9 5 -6.607422 0.0 -34.3606 7.32194 -19.4025 336.34 -2722.76 335.085 -2718.56 0.0 335.085 -2718.56 -6.18494 -34.3606 -2424.0208 2.68132 2.68132
9 6 -6.535099 0.0 -33.212 7.267 -19.4107 336.34 -2722.76 335.087 -2719.25 0.0 335.087 -2719.25 -6.38901 -33.212 -2423.7642 2.50595 2.50595
9 7 -6.2385206 0.0 -27.2536 7.34254 -18.9888 336.34 -2722.76 335.394 -2723.55 0.0 335.394 -2723.55 -3.78086 -27.2536 -2419.1904 6.61722 6.61722
10 0 -6.680922 0.0 -34.8311 7.16478 -19.8747 336.34 -2722.76 335.765 -2720.8 0.0 335.765 -2720.8 -8.50001 -34.8311 -2428.3662 0.599585 0.599585
10 1 -6.680743 0.0 -34.8529 7.16555 -19.8834 336.34 -2722.76 335.745 -2720.74 0.0 335.745 -2720.74 -8.51761 -34.8529 -2428.3657 0.612377 0.612377
10 2 -6.846082 0.0 -38.6331 6.85588 -21.3366 336.34 -2722.76 335.305 -2718.85 0.0 335.305 -2718.85 -3.72689 -38.6331 -2425.9053 3.43717 3.43717
10 3 -6.8231196 0.0 -38.3182 6.85644 -21.2902 336.34 -2722.76 335.328 -2718.95 0.0 335.328 -2718.95 -3.92931 -38.3182 -2425.8696 3.38381 3.38381
10 4 -6.663154 0.0 -32.83 6.70446 -21.5323 336.34 -2722.76 335.809 -2726.04 0.0 335.809 -2726.04 -2.61746 -32.83 -2425.6785 4.47062 4.47062
10 5 -6.8339963 0.0 -40.9953 6.73861 -21.8096 336.34 -2722.76 335.709 -2716.28 0.0 335.709 -2716.28 -3.00399 -40.9953 -2424.5703 3.84368 3.84368
10 6 -6.7309933 0.0 -36.7042 7.16077 -21.8579 336.34 -2722.76 335.233 -2719.89 0.0 335.233 -2719.89 -2.25725 -36.7042 -2423.6184 2.87717 2.87717
10 7 -6.1618657 0.0 -29.0471 7.10482 -20.3876 336.34 -2722.76 335.82 -2721.95 0.0 335.82 -2721.95 2.19389 -29.0471 -2412.9832 12.2469 12.2469
11 0 -6.67002 0.0 -34.748 7.30326 -19.8711 336.34 -2722.76 335.304 -2719.82 0.0 335.304 -2719.82 -8.64667 -34.748 -2427.911 2.52625 2.52625
11 1 -6.6717787 0.0 -34.7905 7.30799 -19.8831 336.34 -2722.76 335.286 -2719.76 0.0 335.286 -2719.76 -8.60983 -34.7905 -2427.8745 2.59604 2.59604
11 2 -6.281641 0.0 -28.0818 7.34537 -19.3316 336.34 -2722.76 335.308 -2723.18 0.0 335.308 -2723.18 -9.26785 -28.0818 -2425.2214 4.63998 4.63998
11 3 -6.3416667 0.0 -28.1183 7.10218 -18.9762 336.34 -2722.76 334.755 -2723.27 0.0 334.755 -2723.27 -7.334 -28.1183 -2423.9673 4.60745 4.60745
11 4 -6.729523 0.0 -41.4967 6.84527 -21.3514 336.34 -2722.76 334.716 -2711.64 0.0 334.716 -2711.64 -5.44291 -41.4967 -2423.8635 3.24725 3.24725
11 5 -6.548375 0.0 -36.567 7.2507 -19.9308 336.34 -2722.76 334.863 -2714.48 0.0 334.863 -2714.48 -7.28686 -36.567 -2423.4707 4.89658 4.89658
11 6 -6.8795877 0.0 -43.3668 6.99707 -20.9297 336.34 -2722.76 334.59 -2710.35 0.0 334.59 -2710.35 -2.7748 -43.3668 -2421.9016 5.28517 5.28517
11 7 -6.2293987 0.0 -35.285 6.80965 -21.4878 336.34 -2722.76 334.877 -2713.51 0.0 334.877 -2713.51 -5.67936 -35.285 -2419.5974 7.05325 7.05325
12 0 -6.907912 0.0 -39.1488 6.82838 -21.1976 336.34 -2722.76 333.845 -2716.71 0.0 333.845 -2716.71 -5.78517 -39.1488 -2427.799 -1.69556 -1.69556
12 1 -7.2925763 0.0 -42.1045 7.0575 -20.0868 336.34 -2722.76 333.831 -2716.94 0.0 333.831 -2716.94 -1.75294 -42.1045 -2426.9663 -2.19922 -2.19922
12 2 -7.2045126 0.0 -43.3175 6.91881 -21.2229 336.34 -2722.76 333.678 -2714.74 0.0 333.678 -2714.74 -2.44671 -43.3175 -2426.8262 -1.36717 -1.36717
12 3 -7.368521 0.0 -45.1971 7.15817 -21.3033 336.34 -2722.76 333.856 -2714.5 0.0 333.856 -2714.5 -0.687874 -45.1971 -2426.529 -1.72187 -1.72187
12 4 -7.3653374 0.0 -45.1662 7.15788 -21.2971 336.34 -2722.76 333.856 -2714.49 0.0 333.856 -2714.49 -0.720831 -45.1662 -2426.521 -1.72172 -1.72172
12 5 -7.036213 0.0 -40.9026 6.86886 -21.9431 336.34 -2722.76 333.639 -2716.46 0.0 333.639 -2716.46 -2.39543 -40.9026 -2426.1191 -2.21678 -2.21678
12 6 -6.908345 0.0 -39.0267 7.16017 -20.2938 336.34 -2722.76 333.865 -2715.52 0.0 333.865 -2715.52 -2.13808 -39.0267 -2422.8198 0.03245673 0.03245673
12 7 -6.935828 0.0 -39.6549 6.71941 -22.5013 336.34 -2722.76 333.673 -2717.59 0.0 333.673 -2717.59 2.54464 -39.6549 -2421.0273 4.13458 4.13458
13 0 -6.787422 0.0 -32.95 6.7957 -20.7063 336.34 -2722.76 334.29 -2724.57 0.0 334.29 -2724.57 -4.56675 -32.95 -2427.7969 1.15888 1.15888
13 1 -6.7329073 0.0 -32.2803 6.81779 -20.5914 336.34 -2722.76 334.293 -2724.57 0.0 334.293 -2724.57 -4.93709 -32.2803 -2427.4944 1.29338 1.29338
13 2 -6.5724854 0.0 -31.6111 6.86758 -22.3598 336.34 -2722.76 334.814 -2725.48 0.0 334.814 -2725.48 -2.91959 -31.6111 -2425.1968 4.51315 4.51315
13 3 -6.1406674 0.0 -26.9255 6.66975 -19.2493 336.34 -2722.76 334.722 -2722.72 0.0 334.722 -2722.72 -7.02809 -26.9255 -2421.9517 4.28532 4.28532
13 4 -6.339543 0.0 -30.0581 6.83543 -22.6683 336.34 -2722.76 335.22 -2725.06 0.0 335.22 -2725.06 -0.473333 -30.0581 -2420.3716 7.02878 7.02878
13 5 -5.8128233 0.0 -21.0299 6.8446 -23.1529 336.34 -2722.76 335.007 -2730.55 0.0 335.007 -2730.55 0.54073 -21.0299 -2416.0322 11.2157 11.2157
13 6 -5.9630704 0.0 -26.8214 6.97411 -22.0688 336.34 -2722.76 335.079 -2722.88 0.0 335.079 -2722.88 0.928783 -26.8214 -2413.6934 11.2543 11.2543
13 7 -5.772032 0.0 -24.5202 7.04471 -22.0989 336.34 -2722.76 335.036 -2723.17 0.0 335.036 -2723.17 -0.104884 -24.5202 -2412.7588 11.8187 11.8187
14 0 -7.1742163 0.0 -44.3346 6.86856 -21.7947 336.34 -2722.76 334.964 -2715.31 0.0 334.964 -2715.31 -3.02251 -44.3346 -2427.7031 -0.640033 -0.640033
14 1 -7.1688857 0.0 -44.2142 6.87196 -21.7622 336.34 -2722.76 334.976 -2715.39 0.0 334.976 -2715.39 -3.02805 -44.2142 -2427.656 -0.677182 -0.677182
14 2 -6.705785 0.0 -37.0403 6.86882 -20.8292 336.34 -2722.76 334.98 -2717.99 0.0 334.98 -2717.99 -4.99375 -37.0403 -2425.044 0.920994 0.920994
14 3 -6.907439 0.0 -44.0296 6.99854 -20.3214 336.34 -2722.76 334.784 -2709.47 0.0 334.784 -2709.47 -5.83468 -44.0296 -2424.5503 1.79025 1.79025
14 4 -6.9166017 0.0 -44.2533 7.00832 -20.3141 336.34 -2722.76 334.796 -2709.27 0.0 334.796 -2709.27 -5.78377 -44.2533 -2424.5112 1.77195 1.77195
15 0 -6.569421 0.0 -31.4779 6.73642 -22.2155 336.34 -2722.76 335.814 -2727.24 0.0 335.814 -2727.24 -4.5382 -31.4779 -2427.4421 3.5532 3.5532
