Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
19 0 -6.8388534 0.0 -31.4604 8.36355 -11.3893 232.458 -1699.15 230.801 -1692.97 0.0 230.801 -1692.97 2.57658 -31.4604 -1491.0527 8.86762 8.86762
19 1 -6.8388534 0.0 -31.4604 8.36355 -11.3893 232.458 -1699.15 230.801 -1692.97 0.0 230.801 -1692.97 2.57658 -31.4604 -1491.0527 8.86762 8.86762
19 2 -6.8388534 0.0 -31.4604 8.36355 -11.3893 232.458 -1699.15 230.801 -1692.97 0.0 230.801 -1692.97 2.57658 -31.4604 -1491.0527 8.86762 8.86762
19 3 -6.8388386 0.0 -31.4658 8.36328 -11.3859 232.458 -1699.15 230.802 -1692.96 0.0 230.802 -1692.96 2.57437 -31.4658 -1491.0494 8.86713 8.86713
19 4 -6.8388386 0.0 -31.4658 8.36328 -11.3859 232.458 -1699.15 230.802 -1692.96 0.0 230.802 -1692.96 2.57437 -31.4658 -1491.0494 8.86713 8.86713
19 5 -6.8388386 0.0 -31.4658 8.36328 -11.3859 232.458 -1699.15 230.802 -1692.96 0.0 230.802 -1692.96 2.57437 -31.4658 -1491.0494 8.86713 8.86713
19 6 -6.8388386 0.0 -31.4658 8.36328 -11.3859 232.458 -1699.15 230.802 -1692.96 0.0 230.802 -1692.96 2.57437 -31.4658 -1491.0494 8.86713 8.86713
19 7 -6.837399 0.0 -31.4358 8.36404 -11.3889 232.458 -1699.15 230.799 -1692.98 0.0 230.799 -1692.98 2.56929 -31.4358 -1491.0475 8.86967 8.86967
20 0 -7.0266423 0.0 -33.3777 8.73031 -11.6827 232.458 -1699.15 232.01 -1694.67 0.0 232.01 -1694.67 5.14802 -33.3777 -1490.8898 8.71154 8.71154
20 1 -7.0266423 0.0 -33.3777 8.73031 -11.6827 232.458 -1699.15 232.01 -1694.67 0.0 232.01 -1694.67 5.14802 -33.3777 -1490.8898 8.71154 8.71154
20 2 -7.02141 0.0 -33.3102 8.72602 -11.6796 232.458 -1699.15 232.002 -1694.68 0.0 232.002 -1694.68 5.11073 -33.3102 -1490.8776 8.69306 8.69306
20 3 -7.02141 0.0 -33.3102 8.72602 -11.6796 232.458 -1699.15 232.002 -1694.68 0.0 232.002 -1694.68 5.11073 -33.3102 -1490.8776 8.69306 8.69306
20 4 -7.02141 0.0 -33.3102 8.72602 -11.6796 232.458 -1699.15 232.002 -1694.68 0.0 232.002 -1694.68 5.11073 -33.3102 -1490.8776 8.69306 8.69306
20 5 -7.024074 0.0 -33.3639 8.73649 -11.6827 232.458 -1699.15 232.036 -1694.68 0.0 232.036 -1694.68 5.16907 -33.3639 -1490.8389 8.80018 8.80018
20 6 -7.024074 0.0 -33.3639 8.73649 -11.6827 232.458 -1699.15 232.036 -1694.68 0.0 232.036 -1694.68 5.16907 -33.3639 -1490.8389 8.80018 8.80018
20 7 -7.024074 0.0 -33.3639 8.73649 -11.6827 232.458 -1699.15 232.036 -1694.68 0.0 232.036 -1694.68 5.16907 -33.3639 -1490.8389 8.80018 8.80018
